#Layer Chip Chan I J K
5 168 16 17 16 5
5 168 17 18 16 5
5 168 18 13 15 5
5 168 19 14 15 5
5 168 20 15 15 5
5 168 21 16 15 5
5 168 22 17 15 5
5 168 23 18 15 5
5 168 24 13 14 5
5 168 25 14 14 5
5 168 26 15 14 5
5 168 27 16 14 5
5 168 28 17 14 5
5 168 29 18 14 5
5 168 30 13 13 5
5 168 31 14 13 5
5 168 32 15 13 5
5 168 33 16 13 5
5 168 34 17 13 5
5 168 35 18 13 5
6 161 0 12 12 6
6 161 1 11 12 6
6 161 2 10 12 6
6 161 3 9 12 6
6 161 4 8 12 6
6 161 5 7 12 6
6 161 6 12 11 6
6 161 7 11 11 6
6 161 8 10 11 6
6 161 9 9 11 6
6 161 10 8 11 6
6 161 11 7 11 6
6 161 12 12 10 6
6 161 13 11 10 6
6 161 14 10 10 6
6 161 15 9 10 6
6 161 16 8 10 6
6 161 17 7 10 6
6 161 18 12 9 6
6 161 19 11 9 6
6 161 20 10 9 6
6 161 21 9 9 6
6 161 22 8 9 6
6 161 23 7 9 6
6 161 24 12 8 6
6 161 25 11 8 6
6 161 26 10 8 6
6 161 27 9 8 6
6 161 28 8 8 6
6 161 29 7 8 6
6 161 30 12 7 6
6 161 31 11 7 6
6 161 32 10 7 6
6 161 33 9 7 6
6 161 34 8 7 6
6 161 35 7 7 6
6 162 0 18 12 6
6 162 1 17 12 6
6 162 2 16 12 6
6 162 3 15 12 6
6 162 4 14 12 6
6 162 5 13 12 6
6 162 6 18 11 6
6 162 7 17 11 6
6 162 8 16 11 6
6 162 9 15 11 6
6 162 10 14 11 6
6 162 11 13 11 6
6 162 12 18 10 6
6 162 13 17 10 6
6 162 14 16 10 6
6 162 15 15 10 6
6 162 16 14 10 6
6 162 17 13 10 6
6 162 18 18 9 6
6 162 19 17 9 6
6 162 20 16 9 6
6 162 21 15 9 6
6 162 22 14 9 6
6 162 23 13 9 6
6 162 24 18 8 6
6 162 25 17 8 6
6 162 26 16 8 6
6 162 27 15 8 6
6 162 28 14 8 6
6 162 29 13 8 6
6 162 30 18 7 6
6 162 31 17 7 6
6 162 32 16 7 6
6 162 33 15 7 6
6 162 34 14 7 6
6 162 35 13 7 6
6 163 0 7 18 6
6 163 1 8 18 6
6 163 2 9 18 6
6 163 3 10 18 6
6 163 4 11 18 6
6 163 5 12 18 6
6 163 6 7 17 6
6 163 7 8 17 6
6 163 8 9 17 6
6 163 9 10 17 6
6 163 10 11 17 6
6 163 11 12 17 6
6 163 12 7 16 6
6 163 13 8 16 6
6 163 14 9 16 6
6 163 15 10 16 6
6 163 16 11 16 6
6 163 17 12 16 6
6 163 18 7 15 6
6 163 19 8 15 6
6 163 20 9 15 6
6 163 21 10 15 6
6 163 22 11 15 6
6 163 23 12 15 6
6 163 24 7 14 6
6 163 25 8 14 6
6 163 26 9 14 6
6 163 27 10 14 6
6 163 28 11 14 6
6 163 29 12 14 6
6 163 30 7 13 6
6 163 31 8 13 6
6 163 32 9 13 6
6 163 33 10 13 6
6 163 34 11 13 6
6 163 35 12 13 6
6 164 0 13 18 6
6 164 1 14 18 6
6 164 2 15 18 6
6 164 3 16 18 6
6 164 4 17 18 6
6 164 5 18 18 6
6 164 6 13 17 6
6 164 7 14 17 6
6 164 8 15 17 6
6 164 9 16 17 6
6 164 10 17 17 6
6 164 11 18 17 6
6 164 12 13 16 6
6 164 13 14 16 6
6 164 14 15 16 6
6 164 15 16 16 6
6 164 16 17 16 6
6 164 17 18 16 6
6 164 18 13 15 6
6 164 19 14 15 6
6 164 20 15 15 6
6 164 21 16 15 6
6 164 22 17 15 6
6 164 23 18 15 6
